"Survey Date and Time","Surveyer id","General Data-Tehsil","General Data-District","General Data-Establishment Address","General Data-Udyog Registered","General Data-If yes Number","General Data-Class","General Data-Sector","General Data-If Any Other Sector Please specify","General Data-Year of Establishment","Details of the Business-Name of Business","Details of the Business-Type of Unit","Details of the Business-Nature of Operation","Details of the Business-Nature Of Job","Details of the Business-Nature Of Employment","Employee Size-2016-17","Employee Size-2017-18","Employee Size-2018-19","Employee Size-2019-20","Employee Size-2020-21","Details of the Finances and Expenses-(Monthly  Cost)-2016-17","Details of the Finances and Expenses-(Monthly  Cost)-2017-18","Details of the Finances and Expenses-(Monthly  Cost)-2018-19","Details of the Finances and Expenses-(Monthly  Cost)-2019-20","Details of the Finances and Expenses-(Monthly  Cost)-2020-21","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2016-17","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2017-18","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2018-19","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2019-20","Details of the Bank Credit Facilitation and Utilization-(Loan Amount)-2020-21","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2016-17","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2017-18","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2018-19","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2019-20","Details of the Bank Credit Facilitation and Utilization-(Bank Name)-2020-21","Details of the Bank Credit Facilitation and Utilization-(Scheme Name under which it was availed)-Scheme","Photos-Person interviewed","Photos-Signboard of Company","Photos-Picture of business operation"
"2021-08-14 08:23:15",49,Bulandshahar,Bulandshahr," H no29 mohalla gaddiwara Sikandra bad Bulandshahar",No,,"[""Services""]","Food products",,2021,"food products ",Micro,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:32:16",49,Bijnor,Bijnor,"moh jabtaganj near bittan khan wali masjid",No,,"[""Services""]","Food products",,2021,"food product",Micro,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:00:24",49,Lucknow,Lucknow,"346 117 MahendiGanj Lucknow",No,,"[""Manufacturing""]","Machinery & Part except electrical",,2020,"shop ",Micro,Seasonal,Unskilled,Contractual,,,,,2,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:39:24",49,Mainpuri,Mainpuri,"Bheem Nagar kroli district Mainpuri",No,,"[""Services""]","Leather products",,2019,"shop ",Small,Seasonal,Unskilled,Contractual,,,,3,5,,,,15000,25000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:12:42",49,Pilibhit,Pilibhit,"bilsanda Pilibhit",No,,"[""Manufacturing""]",Other,shop,2020,"no business",Small,Seasonal,Unskilled,Permanent,,,,,1,,,,,1000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 08:07:26",49,Aligarh,Aligarh,"Sector 1 Tala Nagri Aligarh",No,,"[""Services""]",Other,"shop ",2020,"shop ",Micro,Seasonal,Unskilled,Contractual,,,,,2,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:24:17",49,Muradabad,Moradabad,"mohBajar shantipuram post Tanha",No,,"[""Services""]",Other,"shop ",2020,"shop ",Micro,Seasonal,Unskilled,Contractual,,,,,2,,,,,8000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:00:15",49,Baghpat,Baghpat,"kishor ganj bidhuna",No,,"[""Services""]","Repairing & Services",,2020,"world products",Small,Seasonal,Unskilled,Contractual,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:15:08",49,Firozabad,Faizabad,"h no 211  Kidwai palace Firozabad",No,,"[""Manufacturing""]",Other,"shop ",2020,"shop ",Small,Perennial,Unskilled,Permanent,,,,,2,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:47:44",49,Aligarh,Aligarh,"halwaiyan chharra alighar",No,,"[""Services""]","Repairing & Services",,2021,"shop ",Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:03:08",49,Ghaziabad,Ghaziabad," 673 kaila bhatta near Bilal masjid",No,,"[""Manufacturing""]","Food products",,2019,"food product",Small,Seasonal,Semi-Skilled,Contractual,,,,1,1,,,,3000,3000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:21:03",50,bijnor,Bijnor,"chowk bazaar najibabad",No,,"[""Services""]","Metal products",,2019,"matal product",Micro,Seasonal,Semi-Skilled,Permanent,,,,1,1,,,,8000,12000,,,,,,,,,,,"Rojgar Yukt Gaon",,,
"2021-08-14 10:10:09",49,Lucknow,Lucknow,"40 Sare Manju Hussain NABARD chawal Lucknow",No,,"[""Manufacturing""]","Repairing & Services",,2021,"caring service",Micro,Perennial,Semi-Skilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:09:15",49,meerut,Meerut,"629 gali no 8 L / 8/3- L fakhruddin ali ahmad",No,,"[""Services""]","Hosiery Garments",,2020,"hojari ",Micro,Seasonal,Unskilled,Contractual,,,,,1,,,,,4000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 08:28:59",49,Bareilly,Barabanki,"449 hajiyapur nikta Ashok dukandar Samat Ganj",No,,"[""Services""]","Repairing & Services",,2021,"service repairing",Micro,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:41:46",49,jalaun,Jalaun,"Bhagat Singh Nagar",No,,"[""Manufacturing""]","Wool Silk and Synthetic Fibre Textile",,2020,"world fibre",Small,Seasonal,Semi-Skilled,Contractual,,,,,3,,,,,12000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:03:07",49,Meerut,Meerut,"45 11 Shastri Nagar main road",No,,"[""Manufacturing""]",Other,shop,2021,"shop ",Small,Seasonal,Semi-Skilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:35:22",49,aligarh,Aligarh,"vill. kansera, po.simrauthi ",No,,"[""Services""]","Repairing & Services",,2020,"repairing ",Micro,Seasonal,Unskilled,Contractual,,,,,1,,,,,5000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:45:51",50,aligarh,Aligarh,kishanpurlalpur,No,,"[""Services""]",Other,shop,2017,shop,Micro,Seasonal,Semi-Skilled,Permanent,,1,1,1,1,,2000,2000,2000,2000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:24:33",49,gorakhapur,Gorakhpur,"Jungle Chauri Khorabar",No,,"[""Services""]","Repairing & Services",,2021,"hojari ",Micro,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:05:31",49,Kushinagar,"Kushinagar (Padrauna)","vill po horlapur dist Kushinagar",No,,"[""Manufacturing""]",Other,shop,2021,shop,Small,Seasonal,Unskilled,Permanent,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:52:17",49,amethi,Amethi," gangaganj amethi",No,,"[""Manufacturing""]",Other,shop,2021,shop,Small,Perennial,Semi-Skilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:48:03",49,Meerut,Meerut,"686 6d 1 Shastri Nagar Meerut",No,,"[""Services""]","Machinery & Part except electrical",,2021," electronic",Micro,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 08:41:51",49,etah,Etah,"Mara darvaja Etawah",No,,"[""Manufacturing""]","Repairing & Services",,2021,"regarding ",Micro,Seasonal,Semi-Skilled,Permanent,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:57:33",49,Muzaffarnagar,Muzaffarnagar,"moh shaikhiyn post  baghra mzn",No,,"[""Manufacturing""]","Machinery & Part except electrical",,2016,"electronic machine",Small,Casual,Semi-Skilled,Contractual,2,4,6,8,10,4000,8000,12000,16000,20000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:20:31",50,bulandshahar,Bulandshahr,"H no 68 Krishna nagar",No,,"[""Services""]","Hosiery Garments",,2020,"hosieary garments",Micro,Seasonal,Semi-Skilled,Permanent,,,,,2,,,,,2,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 08:11:51",49,varansi,Varanasi,"h no 64 114 biwi Gali no 3 Madhopur ",No,,"[""Services""]","Hosiery Garments",,2021,"hojari ",Micro,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:32:21",49,Meerut,Meerut,"yes number 52 shareit Koliwada merath",No,,"[""Manufacturing""]","Repairing & Services",,2020,"food products ",Micro,Casual,Unskilled,Skilled,,,,,1,,,,,100000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:06:41",49,Ghaziabad,Ghaziabad,"194 Gagan Vihar Delhi",No,,"[""Manufacturing""]","Repairing & Services",,2019,"repairing service",Small,Seasonal,Unskilled,Contractual,,,,4,6,,,,20000,30000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:51:13",49,Auraiya,Auraiya,"Rampur Khas kudarkot",No,,"[""Services""]","Food products",,2019,"food products ",Micro,Perennial,Unskilled,Contractual,,,,4,6,,,,80000,12000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:10:32",49,Bhaghpat,Baghpat,"Sherpur loharie araut",No,,"[""Services""]","Food products",,2020,"food products ",Micro,Seasonal,Unskilled,Contractual,,,,,2,,,,,16000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:38:39",49,firozabad,Firozabad,"near gopal dairy mohammad mah",No,,"[""Services""]","Hosiery Garments",,2021,"hojari ",Micro,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:06:50",50,jhansi,Jhansi,"c/142 sangam cigar colony",No,,"[""Services""]","Hosiery Garments",,2019,"hosiyaeiy garments",Micro,Seasonal,Semi-Skilled,Permanent,,,,1,1,,,,10000,15000,,,,,,,,,,,"Rojgar Yukt Gaon",,,
"2021-08-14 04:00:42",49,Jhansi,Jhansi,"vill hati sakrar Jhansi",No,,"[""Manufacturing""]",Other,shop,2020,shop,Small,Seasonal,Unskilled,Contractual,,,,,2,,,,,6000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:59:04",49,Mathura,Mathura,"tarasi dhangaon chauraha Mathura",No,,"[""Manufacturing""]","Repairing & Services",,2019,ripering,Small,Perennial,Unskilled,Permanent,,,,4,6,,,,28000,42000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:56:40",49,"Pratapgarh UP",Pratapgarh,"vill+post_atheha Pratapgarh",No,,"[""Manufacturing""]",Other,shop,2021,shop,Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:16:52",49,Shamli,"Shamali (Prabuddh Nagar)","Moh Maniharan beech ki ask ",No,,"[""Manufacturing""]","Food products",,2020,"food product",Small,Seasonal,Semi-Skilled,Contractual,,,,,2,,,,,8000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 08:48:22",50,meerut,Meerut,"Gejha,po-mohiuddinur,",No,,"[""Services""]",Other,shop,2020,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMS,,,
"2021-08-14 10:55:35",49,Amroha,"Amroha (J.P. Nagar)","moh rajput colony",No,,"[""Services""]","Machinery & Part except electrical",,2021,"world product",Small,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 08:34:16",49,Fatehpur,Fatehpur,"noun Tola kha ga Fatehpur",No,,"[""Services""]","Machinery & Part except electrical",,2021,electronic,Micro,Seasonal,Unskilled,Contractual,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:26:56",49,"Kanpur Nagar","Kanpur Nagar","proprietor Kanhaiya Lal Agrawal",No,,"[""Services""]","Food products",,2019,"food products ",Micro,Seasonal,Unskilled,Contractual,,,,3,3,,,,15000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:49:16",50,unnao,Unnao,"13/140 mishra coloney",No,,"[""Services""]","Machinery & Part except electrical",,2020,machinery,Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 08:17:11",49,Bijnor,Bijnor,"moh Islam Nagar Noorpur distt Bijnor",No,,"[""Services""]",Other,"shop ",2019,communication,Micro,Seasonal,Unskilled,Contractual,,,,3,3,,,,15000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:09:42",49,Bareilly,Ballia,"moh mahadev Purana naksha",No,,"[""Manufacturing""]","Food products",,2020,"foot product",Small,Seasonal,Skilled,Contractual,,,,,1,,,,,3000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 08:44:45",49,farookhabad,Farrukhabad,"436 gargi aap Jhula Khan bhikhanpur",No,,"[""Manufacturing""]","Food products",,2020,"food products ",Micro,Casual,Skilled,Skilled,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:18:52",50,taramandal,"Siddharth Nagar","mishrauliya may shivdaspur",No,,"[""Services""]","Wood products",,2016,"wood product",Micro,Seasonal,Semi-Skilled,Permanent,2,2,2,2,1,20000,20000,20000,15000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:14:11",50,basti,Basti,"Mahdi po Mahso,",No,,"[""Services""]",Other,shop,2016,shop,Micro,Seasonal,Semi-Skilled,Permanent,1,2,1,2,3,20000,10000,50000,11000,10000,,,,,,,,,,,PMS,,,
"2021-08-14 03:24:37",50,meerut,Meerut,"durgapuri Krishna nagar",No,,"[""Services""]","Wood products",,2019,"wood product",Micro,Seasonal,Semi-Skilled,Permanent,,,,1,1,,,,2000,5000,,,,,,,,,,,"Rojgar Yukt Gaon",,,
"2021-08-14 04:26:10",50,etawah,Etawah,"h.no .85 nakhasa market",No,,"[""Services""]",Other,shop,2020,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:54:38",50,aligarh,Aligarh,kishanpurlalapur,No,,"[""Services""]",Other,shop,2020,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:58:18",50,dhanaur,"Amroha (J.P. Nagar)","sub hash nagar",No,,"[""Services""]",Other,"mobail repairing shop",2020,"mobail repairing shop",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:29:03",50,shamli,"Shamali (Prabuddh Nagar)","lvpo Lilon ten shamli",No,,"[""Services""]",Other,shop,2020,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:49:04",50,Varanasi,Varanasi,"s10/244 daitra veer hukulgang",No,,"[""Services""]",Other,"house lone",2020,"house lone",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:00:58",50,unnao,Unnao,"bhawani khera makhi",No,,"[""Services""]","Wood products",,2019,"wood products",Micro,Casual,Unskilled,Permanent,,,,1,2,,,,5000,8000,,,,,,,,,,,"Rojgar Yukt Gaon",,,
"2021-08-14 03:30:22",50,chutmalpur,Saharanpur,"bill bud ha khera pundit must",No,,"[""Services""]","Food products",,2019,"food product",Micro,Seasonal,Semi-Skilled,Permanent,,,,2,1,,,,5000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:04:10",50,meerut,Meerut,"333/3,shastri nagar",No,,"[""Services""]",Other,shop,2020,shop,Micro,Seasonal,Semi-Skilled,Contractual,,,,,1,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:29:39",50,etawah,Etawah,"no-new city",No,,"[""Services""]",Other,"house leon",2020,"house leon",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,2,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:12:53",50,mujzaffarnagar,Muzaffarnagar,"H no 798 sujroo ",No,,"[""Services""]","Food products",,2019,"food product",Micro,Seasonal,Semi-Skilled,Permanent,,,,1,1,,,,10000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:53:33",50,azamgarh,Azamgarh,"raidopur Kali choura sadar",No,,"[""Services""]",Other,shop,2019,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,1,2,,,,5000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:07:43",50,"rukhaala aligarh",Aligarh,"bahadur pur rahchoi post",No,,"[""Services""]","Machinery & Part except electrical",,2020,"machineary service",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:35:27",50,"Ramghat road",Aligarh,"2/9ll-b u day Bihar colony",No,,"[""Services""]","Leather products",,2019,"leather prosect",Micro,Seasonal,Semi-Skilled,Permanent,,,,2,1,,,,5000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:55:12",50,"Dushyant vihar",Lucknow,"house no 154/69 gali",No,,"[""Services""]","Metal products",,2019,"matal product",Micro,Perennial,Semi-Skilled,Permanent,,,,1,1,,,,10000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:24:53",50,bagpat,Baghpat,"s/0 Mahavir singh",No,,"[""Services""]",Other,shop,2019,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,1,1,,,,5000,5000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 02:03:57",50,Jaunpur,Jaunpur,"Man ik chain baluagaat",No,,"[""Services""]",Other,shop,2021,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:02:18",50,faijabad,Faizabad," betauli amawa sufi",No,,"[""Services""]","Wood products",,2019,"wood prodect",Micro,Seasonal,Semi-Skilled,Permanent,,,,1,1,,,,5000,5000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:00:41",50,jhansi,Jhansi,"904,o/S UNNAO GATA",No,,"[""Services""]","Wood products",,2020,"wood product",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:16:54",50,mehroni(up),Lalitpur,"silchand ganral store",No,,"[""Services""]",Other,"ganral store",2020,"ganral store",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,2,,,,,,,,,,,"Rojgar Yukt Gaon",,,
"2021-08-14 02:06:35",50,Varanasi,Varanasi,"a10/218 hukulganj pul mo",No,,"[""Services""]","Food products",,2020,"food products",Micro,Seasonal,Semi-Skilled,Permanent,,,,,2,,,,,2,,,,,,,,,,,PMS,,,
"2021-08-14 07:12:17",50,shamli,"Shamali (Prabuddh Nagar)","ramnngar jalalabad",No,,"[""Services""]",Other,shop,2019,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,1,1,,,,5000,8000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 02:57:39",50,meerut,Meerut,"342 kishanapura",No,,"[""Services""]",Other,shop,2019,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,1,2,,,,10000,18000,,,,,,,,,,,"Rojgar Yukt Gaon",,,
"2021-08-14 09:14:34",50,alighrah,Aligarh,aligarah,No,,"[""Services""]","Repairing & Services",,2020,repairing,Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 02:26:36",50,lalitpur,Lalitpur,"chaubyana ",No,,"[""Services""]",Other,shop,2020,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,,2,,,,,2,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 02:10:45",50,Lucknow,Lucknow,"14/670 indie nagar",No,,"[""Services""]","Wood products",,2019,"wood products",Small,Casual,Semi-Skilled,Permanent,,,,1,2,,,,10000,15000,,,,,,,,,,,"Rojgar Yukt Gaon",,,
"2021-08-14 03:10:24",50,jaunour,Jaunpur,"sarokhanpur badlapur",No,,"[""Services""]","Machinery & Part except electrical",,2019,"machinery part",Small,Seasonal,Unskilled,Permanent,,,,2,2,,,,10000,15000,,,,,,,,,,,"Rojgar Yukt Gaon",,,
"2021-08-14 03:01:48",50,Raebareli,RaeBareli,"07.Chandra nagar sadar",No,,"[""Services""]","Food products",,2021,"food products",Micro,Seasonal,Semi-Skilled,Permanent,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:56:47",50,ghaziabad,Ghaziabad,"c-139 Lohia nagar",No,,"[""Services""]","Wood products",,2019,"wood product",Micro,Seasonal,Semi-Skilled,Permanent,,,,1,1,,,,5000,8000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 04:45:46",50,rampur,Rampur,"vill-milakdundi post sura",No,,"[""Services""]",Other,shop,2020,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 02:28:54",50,Agra,Agra,"5a 175 teela",No,,"[""Services""]",Other,shop,2020,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,,2,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 02:13:21",50,Varanasi,Varanasi,"co 15/18 sorakuan",No,,"[""Services""]","Metal products",,2020,"matel service",Micro,Seasonal,Semi-Skilled,Permanent,,,,,2,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:33:33",50,aligarh,Aligarh,"2-477, Vishnu puri",No,,"[""Services""]","Leather products",,2020,"learther product",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:06:31",50,"aligarh ",Aligarh,"post -nagla,  sarua",No,,"[""Services""]",Other,"fast food ",2020,"fast food",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,"Rojgar Yukt Gaon",,,
"2021-08-14 09:37:54",50,Rampur,Rampur,"jwala nagar cod colonydho",No,,"[""Services""]",Other,"fast food",2020,"fast food",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMS,,,
"2021-08-14 10:05:00",50,baghpat,Baghpat,khekra,No,,"[""Services""]","Wool Silk and Synthetic Fibre Textile",,2021,"wool silk",Micro,Seasonal,Semi-Skilled,Permanent,,,,,,,,,,,,,,,,,,,,,PMS,,,
"2021-08-14 06:20:53",50,pratapgar,Pratapgarh,"pure lakkhibeni madhav nager",No,,"[""Services""]",Other,"clothe shop",2021,"clothe shop",Micro,Casual,Semi-Skilled,Permanent,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:30:23",51,auraiya,Auraiya,"Sarah kachhavah",No,,"[""Services""]","Leather products",,2021,factory,Micro,Perennial,Unskilled,Permanent,,,,,,,,,,,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 06:28:31",50,"nera chowk p.o ",Meerut,"arya pur am shrdhana road",No,,"[""Services""]",Other,"mobail shop",2021,"mobail service",Micro,Seasonal,Semi-Skilled,Permanent,,,,,,,,,,,,,,,,,,,,,PMS,,,
"2021-08-14 05:19:08",50,"mohalla sahukara",Pilibhit,"s/o: Nasser ahmad",No,,"[""Services""]",Other,"mobail shop",2020,"mobail service",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:52:38",50,Ghaiabad,"Hapur (Panchsheel Nagar)","moh Mandi rampur a road",No,,"[""Services""]",Other,shop,2020,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,,2,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 11:09:00",50,bhatasa,Farrukhabad,"bhatasa po ",No,,"[""Services""]","Food products",,2016,"food product",Micro,Seasonal,Semi-Skilled,Permanent,1,1,1,1,1,5000,10000,8000,5000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 09:28:01",50,meerut,Meerut,"h no 64 shekhpura",No,,"[""Services""]",Other,"mobail shop",2019,"mobail shop",Micro,Seasonal,Semi-Skilled,Permanent,,,,1,2,,,,8000,10000,,,,,,,,,,,"Rojgar Yukt Gaon",,,
"2021-08-14 03:05:11",50,Ghazipur-up,Ghazipur,jakhania,No,,"[""Services""]",Other,shop,2020,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,,2,,,,,1,,,,,,,,,,,"Rojgar Yukt Gaon",,,
"2021-08-14 05:46:12",51,fatehpur,Fatehpur,"sangram pur sani khaga fatepur utter pradesh",No,,"[""Manufacturing""]","Food products",,2019,"food product",Micro,Casual,Unskilled,Permanent,,,,1,2,,,,10000,5000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:17:38",50,bulandshahar,Bulandshahr,"ramnnagar jalabad",No,,"[""Services""]","Metal products",,2020,"matal product",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 03:14:11",50,"bazar basti ",Basti,"Rana maidan gali",No,,"[""Services""]",Other,shop,2019,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,2,1,,,,10000,15000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 05:26:25",50,bijnor,Bijnor,"Mon -naudha nehtaur",No,,"[""Services""]","Metal products",,2020,"matal product",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,1,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:59:32",50,bhikarpur,Barabanki,"And po-surajpur,barabanki,225409",No,,"[""Manufacturing""]","Repairing & Services",,2016,"repairing &service",Small,Seasonal,Skilled,Permanent,2,2,2,2,2,20000,30000,40000,50000,20000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 10:21:48",50,gorakhpur,Gorakhpur,"Tallikhiya po -turkvaliya",No,,"[""Services""]",Other,shop,2019,shop,Micro,Seasonal,Semi-Skilled,Permanent,,,,1,1,,,,11000,15000,,,,,,,,,,,PMS,,,
"2021-08-14 11:17:32",51,"Kanpur Nagar","Kanpur Nagar","Gunjan vihar Barra Kanpur Uttar Pradesh",No,,"[""Services""]","Hosiery Garments",,2020,"hajri garments",Medium,Perennial,Unskilled,Contractual,,,,,1,,,,,20000,,,,,,,,,,,PMEGP/MUDRA,,,
"2021-08-14 07:20:33",50,"allahabad ",Allahabad,"35/4,po nappa Road",No,,"[""Services""]","Leather products",,2020,"leather products",Micro,Seasonal,Semi-Skilled,Permanent,,,,,1,,,,,2,,,,,,,,,,,PMS,,,
"2021-08-14 03:56:22",50,meerut,Meerut,"112 purva shikha lal",No,,"[""Services""]",Other,"house leon",2019,"house leon",Micro,Seasonal,Semi-Skilled,Permanent,,,,1,1,,,,15000,10000,,,,,,,,,,,PMEGP/MUDRA,,,
